instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_category,weather_category
2640,,2,0,4,21,0,0,0,3,0.54,0.5152,0.94,0.1642,8,53,61,Musim Panas,Salju Ringan/Hujan Ringan
2641,,2,0,4,22,0,0,0,3,0.54,0.5152,1.0,0.1642,5,40,45,Musim Panas,Salju Ringan/Hujan Ringan
2642,,2,0,4,23,0,0,0,3,0.54,0.5152,1.0,0.0896,5,37,42,Musim Panas,Salju Ringan/Hujan Ringan
2643,,2,0,4,0,0,1,1,3,0.52,0.5,1.0,0.0,2,10,12,Musim Panas,Salju Ringan/Hujan Ringan
2644,,2,0,4,1,0,1,1,1,0.54,0.5152,1.0,0.0896,2,8,10,Musim Panas,Cerah/Sedikit Berawan
2645,,2,0,4,2,0,1,1,1,0.54,0.5152,1.0,0.0896,1,9,10,Musim Panas,Cerah/Sedikit Berawan
2646,,2,0,4,3,0,1,1,2,0.5,0.4848,1.0,0.1045,2,8,10,Musim Panas,Berkabut/Berawan
2647,,2,0,4,4,0,1,1,2,0.52,0.5,1.0,0.0,1,4,5,Musim Panas,Berkabut/Berawan
2648,,2,0,4,5,0,1,1,2,0.46,0.4545,1.0,0.0,3,14,17,Musim Panas,Berkabut/Berawan
2649,,2,0,4,6,0,1,1,2,0.5,0.4848,1.0,0.0,7,59,66,Musim Panas,Berkabut/Berawan
2650,,2,0,4,7,0,1,1,2,0.52,0.5,1.0,0.0896,13,183,196,Musim Panas,Berkabut/Berawan
2651,,2,0,4,8,0,1,1,1,0.56,0.5303,0.88,0.1045,27,326,353,Musim Panas,Cerah/Sedikit Berawan
2652,,2,0,4,9,0,1,1,1,0.6,0.5606,0.83,0.1343,27,147,174,Musim Panas,Cerah/Sedikit Berawan
2653,,2,0,4,10,0,1,1,1,0.64,0.6061,0.73,0.2239,61,64,125,Musim Panas,Cerah/Sedikit Berawan
2654,,2,0,4,11,0,1,1,1,0.64,0.6061,0.73,0.2239,53,94,147,Musim Panas,Cerah/Sedikit Berawan
2655,,2,0,4,12,0,1,1,1,0.66,0.6212,0.74,0.2537,48,140,188,Musim Panas,Cerah/Sedikit Berawan
2656,,2,0,4,13,0,1,1,1,0.7,0.6515,0.65,0.2239,57,146,203,Musim Panas,Cerah/Sedikit Berawan
2657,,2,0,4,14,0,1,1,1,0.72,0.6667,0.54,0.2239,47,99,146,Musim Panas,Cerah/Sedikit Berawan
2658,,2,0,4,15,0,1,1,1,0.74,0.6667,0.51,0.2239,50,125,175,Musim Panas,Cerah/Sedikit Berawan
2659,,2,0,4,16,0,1,1,1,0.7,0.6515,0.54,0.3582,41,198,239,Musim Panas,Cerah/Sedikit Berawan
2660,,2,0,4,17,0,1,1,1,0.7,0.6515,0.54,0.2985,80,441,521,Musim Panas,Cerah/Sedikit Berawan
2661,,2,0,4,18,0,1,1,1,0.68,0.6364,0.57,0.3582,74,425,499,Musim Panas,Cerah/Sedikit Berawan
2662,,2,0,4,19,0,1,1,1,0.66,0.6212,0.57,0.3284,62,320,382,Musim Panas,Cerah/Sedikit Berawan
2663,,2,0,4,20,0,1,1,1,0.66,0.6212,0.61,0.2836,42,195,237,Musim Panas,Cerah/Sedikit Berawan
2664,,2,0,4,21,0,1,1,1,0.62,0.6061,0.69,0.2537,41,149,190,Musim Panas,Cerah/Sedikit Berawan
2665,,2,0,4,22,0,1,1,1,0.6,0.5909,0.73,0.2985,23,83,106,Musim Panas,Cerah/Sedikit Berawan
2666,,2,0,4,23,0,1,1,1,0.58,0.5455,0.78,0.2836,9,53,62,Musim Panas,Cerah/Sedikit Berawan
2667,,2,0,4,0,0,2,1,1,0.62,0.6061,0.69,0.2836,10,17,27,Musim Panas,Cerah/Sedikit Berawan
2668,,2,0,4,1,0,2,1,1,0.62,0.5909,0.73,0.2836,16,5,21,Musim Panas,Cerah/Sedikit Berawan
2669,,2,0,4,2,0,2,1,1,0.56,0.5303,0.83,0.3284,17,9,26,Musim Panas,Cerah/Sedikit Berawan
2670,,2,0,4,3,0,2,1,1,0.54,0.5152,0.88,0.2836,17,4,21,Musim Panas,Cerah/Sedikit Berawan
2671,,2,0,4,4,0,2,1,1,0.56,0.5303,0.83,0.2537,2,4,6,Musim Panas,Cerah/Sedikit Berawan
2672,,2,0,4,5,0,2,1,1,0.54,0.5152,0.88,0.2537,0,16,16,Musim Panas,Cerah/Sedikit Berawan
2673,,2,0,4,6,0,2,1,1,0.56,0.5303,0.88,0.2239,0,80,80,Musim Panas,Cerah/Sedikit Berawan
2674,,2,0,4,7,0,2,1,1,0.58,0.5455,0.83,0.2985,16,254,270,Musim Panas,Cerah/Sedikit Berawan
2675,,2,0,4,8,0,2,1,1,0.58,0.5455,0.83,0.2985,32,417,449,Musim Panas,Cerah/Sedikit Berawan
2676,,2,0,4,9,0,2,1,1,0.64,0.6061,0.73,0.3582,35,164,199,Musim Panas,Cerah/Sedikit Berawan
2677,,2,0,4,10,0,2,1,1,0.66,0.6212,0.69,0.3582,22,98,120,Musim Panas,Cerah/Sedikit Berawan
2678,,2,0,4,11,0,2,1,1,0.68,0.6364,0.65,0.3881,40,132,172,Musim Panas,Cerah/Sedikit Berawan
2679,,2,0,4,12,0,2,1,1,0.7,0.6515,0.61,0.4179,40,146,186,Musim Panas,Cerah/Sedikit Berawan
2680,,2,0,4,13,0,2,1,1,0.74,0.6667,0.51,0.4478,37,139,176,Musim Panas,Cerah/Sedikit Berawan
2681,,2,0,4,14,0,2,1,1,0.72,0.6667,0.58,0.3284,40,115,155,Musim Panas,Cerah/Sedikit Berawan
2682,,2,0,4,15,0,2,1,1,0.7,0.6515,0.61,0.3582,34,119,153,Musim Panas,Cerah/Sedikit Berawan
2683,,2,0,4,16,0,2,1,1,0.7,0.6515,0.58,0.3881,40,251,291,Musim Panas,Cerah/Sedikit Berawan
2684,,2,0,4,17,0,2,1,1,0.68,0.6364,0.61,0.3582,66,455,521,Musim Panas,Cerah/Sedikit Berawan
2685,,2,0,4,18,0,2,1,1,0.68,0.6364,0.65,0.4478,65,463,528,Musim Panas,Cerah/Sedikit Berawan
2686,,2,0,4,19,0,2,1,1,0.64,0.6061,0.73,0.4179,42,286,328,Musim Panas,Cerah/Sedikit Berawan
2687,,2,0,4,20,0,2,1,1,0.64,0.6061,0.73,0.3582,35,199,234,Musim Panas,Cerah/Sedikit Berawan
2688,,2,0,4,21,0,2,1,1,0.62,0.5909,0.78,0.2836,33,162,195,Musim Panas,Cerah/Sedikit Berawan
2689,,2,0,4,22,0,2,1,2,0.6,0.5606,0.83,0.194,32,116,148,Musim Panas,Berkabut/Berawan
2690,,2,0,4,23,0,2,1,2,0.6,0.5606,0.83,0.2239,7,71,78,Musim Panas,Berkabut/Berawan
2691,,2,0,4,0,0,3,1,1,0.6,0.5606,0.83,0.2239,3,24,27,Musim Panas,Cerah/Sedikit Berawan
2692,,2,0,4,1,0,3,1,1,0.6,0.5606,0.83,0.2537,2,15,17,Musim Panas,Cerah/Sedikit Berawan
2693,,2,0,4,2,0,3,1,1,0.58,0.5455,0.88,0.2537,0,5,5,Musim Panas,Cerah/Sedikit Berawan
2694,,2,0,4,3,0,3,1,2,0.58,0.5455,0.88,0.2836,3,4,7,Musim Panas,Berkabut/Berawan
2695,,2,0,4,4,0,3,1,1,0.56,0.5303,0.94,0.2239,0,6,6,Musim Panas,Cerah/Sedikit Berawan
2696,,2,0,4,5,0,3,1,2,0.56,0.5303,0.94,0.2537,1,16,17,Musim Panas,Berkabut/Berawan
2697,,2,0,4,6,0,3,1,1,0.56,0.5303,0.94,0.2537,5,79,84,Musim Panas,Cerah/Sedikit Berawan
2698,,2,0,4,7,0,3,1,2,0.58,0.5455,0.88,0.2836,17,229,246,Musim Panas,Berkabut/Berawan
2699,,2,0,4,8,0,3,1,2,0.58,0.5455,0.88,0.3284,31,413,444,Musim Panas,Berkabut/Berawan
2700,,2,0,4,9,0,3,1,2,0.6,0.5455,0.88,0.4179,20,161,181,Musim Panas,Berkabut/Berawan
2701,,2,0,4,10,0,3,1,2,0.62,0.5758,0.83,0.2836,26,66,92,Musim Panas,Berkabut/Berawan
2702,,2,0,4,11,0,3,1,2,0.64,0.5909,0.78,0.2836,53,103,156,Musim Panas,Berkabut/Berawan
2703,,2,0,4,12,0,3,1,1,0.66,0.6061,0.78,0.3284,38,135,173,Musim Panas,Cerah/Sedikit Berawan
2704,,2,0,4,13,0,3,1,1,0.64,0.5909,0.78,0.2985,31,119,150,Musim Panas,Cerah/Sedikit Berawan
2705,,2,0,4,14,0,3,1,1,0.68,0.6364,0.74,0.2836,29,119,148,Musim Panas,Cerah/Sedikit Berawan
2706,,2,0,4,15,0,3,1,1,0.7,0.6515,0.65,0.4925,18,120,138,Musim Panas,Cerah/Sedikit Berawan
2707,,2,0,4,16,0,3,1,1,0.7,0.6515,0.7,0.3881,29,189,218,Musim Panas,Cerah/Sedikit Berawan
2708,,2,0,4,17,0,3,1,3,0.66,0.6061,0.83,0.3881,63,458,521,Musim Panas,Salju Ringan/Hujan Ringan
2709,,2,0,4,18,0,3,1,3,0.66,0.6061,0.83,0.3881,46,366,412,Musim Panas,Salju Ringan/Hujan Ringan
2710,,2,0,4,19,0,3,1,1,0.62,0.5909,0.78,0.2836,40,220,260,Musim Panas,Cerah/Sedikit Berawan
2711,,2,0,4,20,0,3,1,1,0.64,0.5758,0.83,0.3284,30,188,218,Musim Panas,Cerah/Sedikit Berawan
2712,,2,0,4,21,0,3,1,1,0.62,0.5606,0.88,0.2836,19,126,145,Musim Panas,Cerah/Sedikit Berawan
2713,,2,0,4,22,0,3,1,2,0.62,0.5606,0.88,0.3284,18,111,129,Musim Panas,Berkabut/Berawan
2714,,2,0,4,23,0,3,1,2,0.62,0.5606,0.88,0.3582,25,53,78,Musim Panas,Berkabut/Berawan
2715,,2,0,4,0,0,4,1,1,0.64,0.5909,0.78,0.3582,13,41,54,Musim Panas,Cerah/Sedikit Berawan
2716,,2,0,4,1,0,4,1,2,0.62,0.5758,0.83,0.3881,8,12,20,Musim Panas,Berkabut/Berawan
2717,,2,0,4,2,0,4,1,2,0.62,0.5758,0.83,0.4478,14,7,21,Musim Panas,Berkabut/Berawan
2718,,2,0,4,3,0,4,1,2,0.64,0.5909,0.78,0.3881,2,1,3,Musim Panas,Berkabut/Berawan
2719,,2,0,4,4,0,4,1,2,0.62,0.5758,0.83,0.4179,4,5,9,Musim Panas,Berkabut/Berawan
2720,,2,0,4,5,0,4,1,2,0.62,0.5758,0.83,0.3881,0,13,13,Musim Panas,Berkabut/Berawan
2721,,2,0,4,6,0,4,1,2,0.64,0.5909,0.78,0.4627,7,79,86,Musim Panas,Berkabut/Berawan
2722,,2,0,4,7,0,4,1,2,0.64,0.5909,0.78,0.4478,14,201,215,Musim Panas,Berkabut/Berawan
2723,,2,0,4,8,0,4,1,2,0.66,0.6061,0.78,0.4478,31,367,398,Musim Panas,Berkabut/Berawan
2724,,2,0,4,9,0,4,1,3,0.62,0.5606,0.88,0.3284,18,165,183,Musim Panas,Salju Ringan/Hujan Ringan
2725,,2,0,4,10,0,4,1,2,0.62,0.5606,0.88,0.2836,9,45,54,Musim Panas,Berkabut/Berawan
2726,,2,0,4,11,0,4,1,2,0.62,0.5758,0.83,0.2836,10,74,84,Musim Panas,Berkabut/Berawan
2727,,2,0,4,12,0,4,1,2,0.62,0.5909,0.78,0.2537,23,84,107,Musim Panas,Berkabut/Berawan
2728,,2,0,4,13,0,4,1,2,0.62,0.5758,0.83,0.2985,18,103,121,Musim Panas,Berkabut/Berawan
2729,,2,0,4,14,0,4,1,1,0.62,0.5758,0.83,0.2985,21,121,142,Musim Panas,Cerah/Sedikit Berawan
2730,,2,0,4,15,0,4,1,1,0.66,0.6212,0.69,0.3284,46,117,163,Musim Panas,Cerah/Sedikit Berawan
2731,,2,0,4,16,0,4,1,1,0.62,0.5909,0.78,0.2537,42,228,270,Musim Panas,Cerah/Sedikit Berawan
2732,,2,0,4,17,0,4,1,1,0.64,0.6212,0.47,0.3582,49,406,455,Musim Panas,Cerah/Sedikit Berawan
2733,,2,0,4,18,0,4,1,1,0.64,0.6212,0.47,0.3582,44,486,530,Musim Panas,Cerah/Sedikit Berawan
2734,,2,0,4,19,0,4,1,1,0.62,0.6212,0.43,0.2985,57,347,404,Musim Panas,Cerah/Sedikit Berawan
2735,,2,0,4,20,0,4,1,1,0.58,0.5455,0.43,0.2239,49,220,269,Musim Panas,Cerah/Sedikit Berawan
2736,,2,0,4,21,0,4,1,1,0.56,0.5303,0.46,0.1343,27,167,194,Musim Panas,Cerah/Sedikit Berawan
2737,,2,0,4,22,0,4,1,1,0.54,0.5152,0.45,0.1642,34,119,153,Musim Panas,Cerah/Sedikit Berawan
2738,,2,0,4,23,0,4,1,1,0.54,0.5152,0.39,0.0896,29,81,110,Musim Panas,Cerah/Sedikit Berawan
2739,,2,0,4,0,0,5,1,1,0.52,0.5,0.39,0.2836,11,37,48,Musim Panas,Cerah/Sedikit Berawan
2740,,2,0,4,1,0,5,1,1,0.5,0.4848,0.45,0.0896,10,21,31,Musim Panas,Cerah/Sedikit Berawan
2741,,2,0,4,2,0,5,1,1,0.46,0.4545,0.63,0.1045,2,8,10,Musim Panas,Cerah/Sedikit Berawan
2742,,2,0,4,3,0,5,1,1,0.46,0.4545,0.59,0.0896,1,4,5,Musim Panas,Cerah/Sedikit Berawan
2743,,2,0,4,4,0,5,1,1,0.46,0.4545,0.51,0.1343,0,6,6,Musim Panas,Cerah/Sedikit Berawan
2744,,2,0,4,5,0,5,1,1,0.46,0.4545,0.47,0.1343,0,25,25,Musim Panas,Cerah/Sedikit Berawan
2745,,2,0,4,6,0,5,1,1,0.5,0.4848,0.45,0.2836,4,67,71,Musim Panas,Cerah/Sedikit Berawan
2746,,2,0,4,7,0,5,1,1,0.52,0.5,0.42,0.194,18,222,240,Musim Panas,Cerah/Sedikit Berawan
2747,,2,0,4,8,0,5,1,1,0.54,0.5152,0.39,0.2985,35,386,421,Musim Panas,Cerah/Sedikit Berawan
2748,,2,0,4,9,0,5,1,1,0.54,0.5152,0.39,0.3284,45,185,230,Musim Panas,Cerah/Sedikit Berawan
2749,,2,0,4,10,0,5,1,1,0.56,0.5303,0.4,0.2836,57,99,156,Musim Panas,Cerah/Sedikit Berawan
2750,,2,0,4,11,0,5,1,1,0.6,0.6212,0.38,0.2239,49,108,157,Musim Panas,Cerah/Sedikit Berawan
2751,,2,0,4,12,0,5,1,1,0.56,0.5303,0.37,0.2836,63,160,223,Musim Panas,Cerah/Sedikit Berawan
2752,,2,0,4,13,0,5,1,1,0.56,0.5303,0.37,0.2985,74,234,308,Musim Panas,Cerah/Sedikit Berawan
2753,,2,0,4,14,0,5,1,1,0.6,0.6212,0.35,0.3284,58,190,248,Musim Panas,Cerah/Sedikit Berawan
2754,,2,0,4,15,0,5,1,2,0.56,0.5303,0.4,0.2985,77,175,252,Musim Panas,Berkabut/Berawan
2755,,2,0,4,16,0,5,1,2,0.54,0.5152,0.42,0.3582,59,240,299,Musim Panas,Berkabut/Berawan
2756,,2,0,4,17,0,5,1,2,0.52,0.5,0.45,0.3881,75,433,508,Musim Panas,Berkabut/Berawan
2757,,2,0,4,18,0,5,1,1,0.52,0.5,0.48,0.3582,55,384,439,Musim Panas,Cerah/Sedikit Berawan
2758,,2,0,4,19,0,5,1,1,0.46,0.4545,0.55,0.3284,40,230,270,Musim Panas,Cerah/Sedikit Berawan
2759,,2,0,4,20,0,5,1,1,0.48,0.4697,0.48,0.2239,34,160,194,Musim Panas,Cerah/Sedikit Berawan
2760,,2,0,4,21,0,5,1,1,0.46,0.4545,0.51,0.194,50,145,195,Musim Panas,Cerah/Sedikit Berawan
2761,,2,0,4,22,0,5,1,1,0.42,0.4242,0.58,0.1642,36,110,146,Musim Panas,Cerah/Sedikit Berawan
2762,,2,0,4,23,0,5,1,2,0.44,0.4394,0.54,0.0896,25,88,113,Musim Panas,Berkabut/Berawan
2763,,2,0,4,0,0,6,0,2,0.44,0.4394,0.54,0.2537,33,73,106,Musim Panas,Berkabut/Berawan
2764,,2,0,4,1,0,6,0,2,0.44,0.4394,0.54,0.1642,15,59,74,Musim Panas,Berkabut/Berawan
2765,,2,0,4,2,0,6,0,2,0.44,0.4394,0.54,0.2239,12,53,65,Musim Panas,Berkabut/Berawan
2766,,2,0,4,3,0,6,0,2,0.42,0.4242,0.54,0.194,4,13,17,Musim Panas,Berkabut/Berawan
2767,,2,0,4,4,0,6,0,2,0.42,0.4242,0.54,0.2239,2,5,7,Musim Panas,Berkabut/Berawan
2768,,2,0,4,5,0,6,0,1,0.42,0.4242,0.54,0.3881,3,4,7,Musim Panas,Cerah/Sedikit Berawan
2769,,2,0,4,6,0,6,0,1,0.4,0.4091,0.58,0.2836,10,11,21,Musim Panas,Cerah/Sedikit Berawan
2770,,2,0,4,7,0,6,0,1,0.4,0.4091,0.54,0.3881,21,27,48,Musim Panas,Cerah/Sedikit Berawan
2771,,2,0,4,8,0,6,0,1,0.4,0.4091,0.54,0.2985,21,70,91,Musim Panas,Cerah/Sedikit Berawan
2772,,2,0,4,9,0,6,0,1,0.44,0.4394,0.51,0.3582,35,121,156,Musim Panas,Cerah/Sedikit Berawan
2773,,2,0,4,10,0,6,0,1,0.48,0.4697,0.44,0.3881,94,185,279,Musim Panas,Cerah/Sedikit Berawan
2774,,2,0,4,11,0,6,0,1,0.5,0.4848,0.42,0.3582,120,201,321,Musim Panas,Cerah/Sedikit Berawan
2775,,2,0,4,12,0,6,0,1,0.52,0.5,0.42,0.3881,178,238,416,Musim Panas,Cerah/Sedikit Berawan
2776,,2,0,4,13,0,6,0,1,0.54,0.5152,0.39,0.2985,185,270,455,Musim Panas,Cerah/Sedikit Berawan
2777,,2,0,4,14,0,6,0,1,0.54,0.5152,0.39,0.2239,184,268,452,Musim Panas,Cerah/Sedikit Berawan
2778,,2,0,4,15,0,6,0,1,0.56,0.5303,0.37,0.1343,217,282,499,Musim Panas,Cerah/Sedikit Berawan
2779,,2,0,4,16,0,6,0,1,0.58,0.5455,0.37,0.194,191,273,464,Musim Panas,Cerah/Sedikit Berawan
2780,,2,0,4,17,0,6,0,1,0.56,0.5303,0.43,0.1343,162,245,407,Musim Panas,Cerah/Sedikit Berawan
2781,,2,0,4,18,0,6,0,1,0.54,0.5152,0.43,0.1343,134,237,371,Musim Panas,Cerah/Sedikit Berawan
2782,,2,0,4,19,0,6,0,1,0.54,0.5152,0.43,0.1343,150,237,387,Musim Panas,Cerah/Sedikit Berawan
2783,,2,0,4,20,0,6,0,1,0.44,0.4394,0.62,0.1343,65,159,224,Musim Panas,Cerah/Sedikit Berawan
2784,,2,0,4,21,0,6,0,1,0.44,0.4394,0.62,0.1343,58,119,177,Musim Panas,Cerah/Sedikit Berawan
2785,,2,0,4,22,0,6,0,1,0.44,0.4394,0.67,0.1045,37,106,143,Musim Panas,Cerah/Sedikit Berawan
2786,,2,0,4,23,0,6,0,1,0.44,0.4394,0.67,0.1045,34,91,125,Musim Panas,Cerah/Sedikit Berawan
2787,,2,0,5,0,0,0,0,1,0.42,0.4242,0.67,0.0896,19,77,96,Musim Panas,Cerah/Sedikit Berawan
2788,,2,0,5,1,0,0,0,1,0.42,0.4242,0.69,0.1045,9,50,59,Musim Panas,Cerah/Sedikit Berawan
2789,,2,0,5,2,0,0,0,1,0.42,0.4242,0.77,0.1045,7,43,50,Musim Panas,Cerah/Sedikit Berawan
2790,,2,0,5,3,0,0,0,1,0.4,0.4091,0.82,0.1045,8,15,23,Musim Panas,Cerah/Sedikit Berawan
2791,,2,0,5,4,0,0,0,1,0.4,0.4091,0.76,0.1045,6,11,17,Musim Panas,Cerah/Sedikit Berawan
2792,,2,0,5,5,0,0,0,1,0.4,0.4091,0.82,0.0896,0,10,10,Musim Panas,Cerah/Sedikit Berawan
2793,,2,0,5,6,0,0,0,2,0.4,0.4091,0.82,0.0896,4,9,13,Musim Panas,Berkabut/Berawan
2794,,2,0,5,7,0,0,0,2,0.42,0.4242,0.77,0.0896,7,26,33,Musim Panas,Berkabut/Berawan
2795,,2,0,5,8,0,0,0,2,0.44,0.4394,0.77,0.1343,16,43,59,Musim Panas,Berkabut/Berawan
2796,,2,0,5,9,0,0,0,2,0.46,0.4545,0.72,0.1343,45,96,141,Musim Panas,Berkabut/Berawan
2797,,2,0,5,10,0,0,0,2,0.48,0.4697,0.63,0.194,109,155,264,Musim Panas,Berkabut/Berawan
2798,,2,0,5,11,0,0,0,1,0.46,0.4545,0.82,0.1045,109,141,250,Musim Panas,Cerah/Sedikit Berawan
2799,,2,0,5,12,0,0,0,2,0.48,0.4697,0.77,0.1045,109,172,281,Musim Panas,Berkabut/Berawan
2800,,2,0,5,13,0,0,0,2,0.5,0.4848,0.63,0.1642,123,209,332,Musim Panas,Berkabut/Berawan
2801,,2,0,5,14,0,0,0,2,0.5,0.4848,0.68,0.1045,85,153,238,Musim Panas,Berkabut/Berawan
2802,,2,0,5,15,0,0,0,2,0.5,0.4848,0.72,0.0,113,153,266,Musim Panas,Berkabut/Berawan
2803,,2,0,5,16,0,0,0,2,0.5,0.4848,0.72,0.194,75,139,214,Musim Panas,Berkabut/Berawan
2804,,2,0,5,17,0,0,0,2,0.48,0.4697,0.82,0.2537,60,136,196,Musim Panas,Berkabut/Berawan
2805,,2,0,5,18,0,0,0,2,0.46,0.4545,0.82,0.0896,33,126,159,Musim Panas,Berkabut/Berawan
2806,,2,0,5,19,0,0,0,2,0.46,0.4545,0.84,0.1045,47,131,178,Musim Panas,Berkabut/Berawan
2807,,2,0,5,20,0,0,0,2,0.46,0.4545,0.82,0.0,35,86,121,Musim Panas,Berkabut/Berawan
2808,,2,0,5,21,0,0,0,2,0.46,0.4545,0.82,0.0,23,82,105,Musim Panas,Berkabut/Berawan
2809,,2,0,5,22,0,0,0,2,0.46,0.4545,0.82,0.0,32,68,100,Musim Panas,Berkabut/Berawan
2810,,2,0,5,23,0,0,0,1,0.46,0.4545,0.77,0.194,64,82,146,Musim Panas,Cerah/Sedikit Berawan
2811,,2,0,5,0,0,1,1,1,0.46,0.4545,0.72,0.1343,68,109,177,Musim Panas,Cerah/Sedikit Berawan
2812,,2,0,5,1,0,1,1,1,0.46,0.4545,0.72,0.1343,41,73,114,Musim Panas,Cerah/Sedikit Berawan
2813,,2,0,5,2,0,1,1,2,0.44,0.4394,0.77,0.2239,16,19,35,Musim Panas,Berkabut/Berawan
2814,,2,0,5,3,0,1,1,1,0.44,0.4394,0.77,0.1343,9,7,16,Musim Panas,Cerah/Sedikit Berawan
2815,,2,0,5,4,0,1,1,1,0.44,0.4394,0.77,0.1642,9,8,17,Musim Panas,Cerah/Sedikit Berawan
2816,,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343,4,16,20,Musim Panas,Berkabut/Berawan
2817,,2,0,5,6,0,1,1,1,0.44,0.4394,0.88,0.1045,3,59,62,Musim Panas,Cerah/Sedikit Berawan
2818,,2,0,5,7,0,1,1,2,0.46,0.4545,0.82,0.3284,16,193,209,Musim Panas,Berkabut/Berawan
2819,,2,0,5,8,0,1,1,2,0.48,0.4697,0.77,0.2239,21,350,371,Musim Panas,Berkabut/Berawan
2820,,2,0,5,9,0,1,1,2,0.5,0.4848,0.77,0.2836,41,131,172,Musim Panas,Berkabut/Berawan
2821,,2,0,5,10,0,1,1,2,0.54,0.5152,0.77,0.2239,31,77,108,Musim Panas,Berkabut/Berawan
2822,,2,0,5,11,0,1,1,1,0.58,0.5455,0.73,0.2985,34,96,130,Musim Panas,Cerah/Sedikit Berawan
2823,,2,0,5,12,0,1,1,1,0.62,0.6061,0.69,0.2239,40,147,187,Musim Panas,Cerah/Sedikit Berawan
2824,,2,0,5,13,0,1,1,2,0.62,0.6061,0.69,0.194,51,119,170,Musim Panas,Berkabut/Berawan
2825,,2,0,5,14,0,1,1,1,0.64,0.6061,0.69,0.2239,48,133,181,Musim Panas,Cerah/Sedikit Berawan
2826,,2,0,5,15,0,1,1,1,0.66,0.6212,0.61,0.194,45,110,155,Musim Panas,Cerah/Sedikit Berawan
2827,,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,49,220,269,Musim Panas,Cerah/Sedikit Berawan
2828,,2,0,5,17,0,1,1,1,0.66,0.6212,0.65,0.194,65,472,537,Musim Panas,Cerah/Sedikit Berawan
2829,,2,0,5,18,0,1,1,2,0.64,0.6061,0.65,0.194,68,450,518,Musim Panas,Berkabut/Berawan
2830,,2,0,5,19,0,1,1,2,0.62,0.6061,0.69,0.1343,46,268,314,Musim Panas,Berkabut/Berawan
2831,,2,0,5,20,0,1,1,2,0.62,0.6061,0.69,0.1343,44,174,218,Musim Panas,Berkabut/Berawan
2832,,2,0,5,21,0,1,1,2,0.6,0.5909,0.73,0.1045,54,178,232,Musim Panas,Berkabut/Berawan
2833,,2,0,5,22,0,1,1,2,0.6,0.5909,0.73,0.0,28,97,125,Musim Panas,Berkabut/Berawan
2834,,2,0,5,23,0,1,1,2,0.56,0.5303,0.83,0.194,16,48,64,Musim Panas,Berkabut/Berawan
2835,,2,0,5,0,0,2,1,2,0.56,0.5303,0.83,0.2239,0,16,16,Musim Panas,Berkabut/Berawan
2836,,2,0,5,1,0,2,1,2,0.56,0.5303,0.78,0.2537,0,14,14,Musim Panas,Berkabut/Berawan
2837,,2,0,5,2,0,2,1,2,0.56,0.5303,0.78,0.2537,0,5,5,Musim Panas,Berkabut/Berawan
2838,,2,0,5,3,0,2,1,1,0.54,0.5152,0.83,0.2836,0,2,2,Musim Panas,Cerah/Sedikit Berawan
2839,,2,0,5,4,0,2,1,1,0.52,0.5,0.88,0.2239,3,1,4,Musim Panas,Cerah/Sedikit Berawan
2840,,2,0,5,5,0,2,1,1,0.52,0.5,0.88,0.1343,0,14,14,Musim Panas,Cerah/Sedikit Berawan
2841,,2,0,5,6,0,2,1,2,0.52,0.5,0.94,0.1642,7,102,109,Musim Panas,Berkabut/Berawan
2842,,2,0,5,7,0,2,1,2,0.54,0.5152,0.88,0.2239,17,248,265,Musim Panas,Berkabut/Berawan
2843,,2,0,5,8,0,2,1,2,0.56,0.5303,0.83,0.2836,24,435,459,Musim Panas,Berkabut/Berawan
2844,,2,0,5,9,0,2,1,2,0.6,0.5758,0.78,0.3582,29,157,186,Musim Panas,Berkabut/Berawan
2845,,2,0,5,10,0,2,1,2,0.64,0.6061,0.69,0.3582,36,91,127,Musim Panas,Berkabut/Berawan
2846,,2,0,5,11,0,2,1,2,0.66,0.6212,0.65,0.3284,20,120,140,Musim Panas,Berkabut/Berawan
2847,,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925,48,169,217,Musim Panas,Berkabut/Berawan
2848,,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,50,144,194,Musim Panas,Berkabut/Berawan
2849,,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158,Musim Panas,Berkabut/Berawan
2850,,2,0,5,15,0,2,1,2,0.7,0.6515,0.58,0.4478,37,117,154,Musim Panas,Berkabut/Berawan
2851,,2,0,5,16,0,2,1,1,0.72,0.6667,0.54,0.4627,46,225,271,Musim Panas,Cerah/Sedikit Berawan
2852,,2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,53,464,517,Musim Panas,Cerah/Sedikit Berawan
2853,,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,59,485,544,Musim Panas,Cerah/Sedikit Berawan
2854,,2,0,5,19,0,2,1,1,0.68,0.6364,0.57,0.3582,42,323,365,Musim Panas,Cerah/Sedikit Berawan
2855,,2,0,5,20,0,2,1,1,0.66,0.6212,0.61,0.194,28,262,290,Musim Panas,Cerah/Sedikit Berawan
